Outlet Name,Outlet GSTIN Code,Invoice No,Invoice Date,Taxable Line Amt,SGST_Tax_Rate,SGST_Tax_Value,CGST_Tax_Rate,CGST_Tax_Value,Cess_Tax_Rate,Cess_Tax_Value,Total Tax Amount,Net Amount
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000667,10/4/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000667,10/4/2018,182.86,14,25.6,14,25.6,12,21.94,73.14,256
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000667,10/4/2018,903.96,9,81.36,9,81.36,0,0,162.72,1066.68
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000667,10/4/2018,548.58,14,76.8,14,76.8,12,65.83,219.43,768.01
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000667,10/4/2018,22.86,14,3.2,14,3.2,12,2.74,9.14,32
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000667,10/4/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000667,10/4/2018,548.58,14,76.8,14,76.8,12,65.83,219.43,768.01
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000667,10/4/2018,265.49,6,15.93,6,15.93,0,0,31.86,297.35
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000667,10/4/2018,646.26,9,58.16,9,58.16,0,0,116.32,762.58
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000668,10/4/2018,182.86,14,25.6,14,25.6,12,21.94,73.14,256
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000668,10/4/2018,301.32,9,27.12,9,27.12,0,0,54.24,355.56
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000668,10/4/2018,1280.02,14,179.2,14,179.2,12,153.6,512,1792.02
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000668,10/4/2018,1462.88,14,204.8,14,204.8,12,175.55,585.15,2048.03
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000668,10/4/2018,265.49,6,15.93,6,15.93,0,0,31.86,297.35
UNION CLUB,21AAAJU0278L1Z0,580118000695,10/9/2018,168.57,14,23.6,14,23.6,12,20.23,67.43,236
UNION CLUB,21AAAJU0278L1Z0,580118000695,10/9/2018,265.49,6,15.93,6,15.93,0,0,31.86,297.35
UNION CLUB,21AAAJU0278L1Z0,580118000695,10/9/2018,842.87,14,118,14,118,12,101.14,337.14,1180.01
UNION CLUB,21AAAJU0278L1Z0,580118000695,10/9/2018,680.88,14,95.32,14,95.32,12,81.71,272.35,953.23
UNION CLUB,21AAAJU0278L1Z0,580118000695,10/9/2018,680.88,14,95.32,14,95.32,12,81.71,272.35,953.23
UNION CLUB,21AAAJU0278L1Z0,580118000695,10/9/2018,1816,9,163.44,9,163.44,0,0,326.88,2142.88
UNION CLUB,21AAAJU0278L1Z0,580118000695,10/9/2018,1795.1,9,161.56,9,161.56,0,0,323.12,2118.22
UNION CLUB,21AAAJU0278L1Z0,580118000695,10/9/2018,0,9,0,9,0,0,0,0,0
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580118000696,10/13/2018,1795.1,9,161.56,9,161.56,0,0,323.12,2118.22
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580118000696,10/13/2018,1134.8,14,158.87,14,158.87,12,136.18,453.92,1588.72
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580118000696,10/13/2018,1134.8,14,158.87,14,158.87,12,136.18,453.92,1588.72
CUTTACK CLUB--,21AABCC7150M1ZT,580118000772,10/19/2018,1828.6,14,256,14,256,12,219.43,731.43,2560.03
CUTTACK CLUB--,21AABCC7150M1ZT,580118000772,10/19/2018,1828.6,14,256,14,256,12,219.43,731.43,2560.03
UNION CLUB,21AAAJU0278L1Z0,580118000775,10/23/2018,1816,9,163.44,9,163.44,0,0,326.88,2142.88
UNION CLUB,21AAAJU0278L1Z0,580118000775,10/23/2018,1795.1,9,161.56,9,161.56,0,0,323.12,2118.22
UNION CLUB,21AAAJU0278L1Z0,580118000775,10/23/2018,548.58,14,76.8,14,76.8,12,65.83,219.43,768.01
UNION CLUB,21AAAJU0278L1Z0,580118000775,10/23/2018,453.92,14,63.55,14,63.55,12,54.47,181.57,635.49
UNION CLUB,21AAAJU0278L1Z0,580118000775,10/23/2018,1588.72,14,222.42,14,222.42,12,190.65,635.49,2224.21
UNION CLUB,21AAAJU0278L1Z0,580118000775,10/23/2018,545.46,14,76.36,14,76.36,12,65.46,218.18,763.64
ROYAL TRADERS,21ACTPS8275J1ZU,580118000821,10/25/2018,365.72,14,51.2,14,51.2,12,43.89,146.29,512.01
ROYAL TRADERS,21ACTPS8275J1ZU,580118000821,10/25/2018,548.58,14,76.8,14,76.8,12,65.83,219.43,768.01
ROYAL TRADERS,21ACTPS8275J1ZU,580118000821,10/25/2018,525.97,14,73.64,14,73.64,12,63.12,210.4,736.37
ROYAL TRADERS,21ACTPS8275J1ZU,580118000821,10/25/2018,525.97,14,73.64,14,73.64,12,63.12,210.4,736.37
ROYAL TRADERS,21ACTPS8275J1ZU,580118000821,10/25/2018,389.61,14,54.55,14,54.55,12,46.75,155.85,545.46
ROYAL TRADERS,21ACTPS8275J1ZU,580118000821,10/25/2018,389.61,14,54.55,14,54.55,12,46.75,155.85,545.46
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000823,10/25/2018,1828.6,14,256,14,256,12,219.43,731.43,2560.03
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000823,10/25/2018,914.3,14,128,14,128,12,109.72,365.72,1280.02
CUTTACK CLUB--,21AABCC7150M1ZT,580118000827,10/26/2018,115.56,9,10.4,9,10.4,0,0,20.8,136.36
CUTTACK CLUB--,21AABCC7150M1ZT,580118000827,10/26/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
CUTTACK CLUB--,21AABCC7150M1ZT,580118000827,10/26/2018,66.37,6,3.98,6,3.98,0,0,7.96,74.33
CUTTACK CLUB--,21AABCC7150M1ZT,580118000827,10/26/2018,93.17,6,5.59,6,5.59,0,0,11.18,104.35
CUTTACK CLUB--,21AABCC7150M1ZT,580118000827,10/26/2018,155.84,14,21.82,14,21.82,12,18.7,62.34,218.18
CUTTACK CLUB--,21AABCC7150M1ZT,580118000827,10/26/2018,155.84,14,21.82,14,21.82,12,18.7,62.34,218.18
CUTTACK CLUB--,21AABCC7150M1ZT,580118000827,10/26/2018,97.4,6,5.84,6,5.84,0,0,11.68,109.08
CUTTACK CLUB--,21AABCC7150M1ZT,580118000827,10/26/2018,180.19,6,10.81,6,10.81,0,0,21.62,201.81
CUTTACK CLUB--,21AABCC7150M1ZT,580118000827,10/26/2018,181.6,9,16.34,9,16.34,0,0,32.68,214.28
DEEP FOOD CORNER,21AVIPD7702M1ZP,580118000828,10/26/2018,77.64,6,4.66,6,4.66,0,0,9.32,86.96
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580118000831,10/29/2018,2154.12,9,193.87,9,193.87,0,0,387.74,2541.86
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580118000831,10/29/2018,1134.8,14,158.87,14,158.87,12,136.18,453.92,1588.72
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580118000831,10/29/2018,1134.8,14,158.87,14,158.87,12,136.18,453.92,1588.72
CUTTACK CLUB--,21AABCC7150M1ZT,580118000832,10/29/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
CUTTACK CLUB--,21AABCC7150M1ZT,580118000832,10/29/2018,914.3,14,128,14,128,12,109.72,365.72,1280.02
CUTTACK CLUB--,21AABCC7150M1ZT,580118000832,10/29/2018,914.3,14,128,14,128,12,109.72,365.72,1280.02
CUTTACK CLUB--,21AABCC7150M1ZT,580118000832,10/29/2018,1077.1,9,96.94,9,96.94,0,0,193.88,1270.98
CUTTACK CLUB--,21AABCC7150M1ZT,580118000832,10/29/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
CUTTACK CLUB--,21AABCC7150M1ZT,580118000832,10/29/2018,3013.2,9,271.19,9,271.19,0,0,542.38,3555.58
CUTTACK CLUB--,21AABCC7150M1ZT,580118000840,10/31/2018,931.68,6,55.9,6,55.9,0,0,111.8,1043.48
CUTTACK CLUB--,21AABCC7150M1ZT,580118000841,10/31/2018,2742.9,14,384.01,14,384.01,12,329.15,1097.17,3840.07
CUTTACK CLUB--,21AABCC7150M1ZT,580118000841,10/31/2018,2742.9,14,384.01,14,384.01,12,329.15,1097.17,3840.07
CUTTACK CLUB--,21AABCC7150M1ZT,580118000841,10/31/2018,3013.2,9,271.19,9,271.19,0,0,542.38,3555.58
ROYAL TRADERS,21ACTPS8275J1ZU,580218003340,10/4/2018,389.61,14,54.55,14,54.55,12,46.75,155.85,545.46
ROYAL TRADERS,21ACTPS8275J1ZU,580218003340,10/4/2018,182.86,14,25.6,14,25.6,12,21.94,73.14,256
ROYAL TRADERS,21ACTPS8275J1ZU,580218003340,10/4/2018,182.86,14,25.6,14,25.6,12,21.94,73.14,256
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003344,10/4/2018,194.8,14,27.27,14,27.27,12,23.38,77.92,272.72
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003344,10/4/2018,194.8,14,27.27,14,27.27,12,23.38,77.92,272.72
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003344,10/4/2018,231.12,9,20.8,9,20.8,0,0,41.6,272.72
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003344,10/4/2018,38.96,14,5.45,14,5.45,12,4.68,15.58,54.54
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003344,10/4/2018,58.44,14,8.18,14,8.18,12,7.01,23.37,81.81
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003344,10/4/2018,116.88,14,16.36,14,16.36,12,14.03,46.75,163.63
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003344,10/4/2018,45.72,14,6.4,14,6.4,12,5.49,18.29,64.01
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003344,10/4/2018,22.86,14,3.2,14,3.2,12,2.74,9.14,32
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003344,10/4/2018,45.72,14,6.4,14,6.4,12,5.49,18.29,64.01
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003344,10/4/2018,51.95,14,7.27,14,7.27,12,6.23,20.77,72.72
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003344,10/4/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003344,10/4/2018,75.33,9,6.78,9,6.78,0,0,13.56,88.89
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003344,10/4/2018,52.76,6,3.17,6,3.17,0,0,6.34,59.1
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003344,10/4/2018,66.37,6,3.98,6,3.98,0,0,7.96,74.33
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003344,10/4/2018,32.47,6,1.95,6,1.95,0,0,3.9,36.37
CUTTACK CLUB--,21AABCC7150M1ZT,580218003358,10/4/2018,430.84,9,38.78,9,38.78,0,0,77.56,508.4
CUTTACK CLUB--,21AABCC7150M1ZT,580218003358,10/4/2018,914.3,14,128,14,128,12,109.72,365.72,1280.02
CUTTACK CLUB--,21AABCC7150M1ZT,580218003358,10/4/2018,182.86,14,25.6,14,25.6,12,21.94,73.14,256
CUTTACK CLUB--,21AABCC7150M1ZT,580218003358,10/4/2018,2742.9,14,384.01,14,384.01,12,329.15,1097.17,3840.07
CUTTACK CLUB--,21AABCC7150M1ZT,580218003358,10/4/2018,182.86,14,25.6,14,25.6,12,21.94,73.14,256
CUTTACK CLUB--,21AABCC7150M1ZT,580218003358,10/4/2018,182.86,14,25.6,14,25.6,12,21.94,73.14,256
CUTTACK CLUB--,21AABCC7150M1ZT,580218003358,10/4/2018,3013.2,9,271.19,9,271.19,0,0,542.38,3555.58
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580218003388,10/5/2018,525.97,14,73.64,14,73.64,12,63.12,210.4,736.37
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580218003388,10/5/2018,525.97,14,73.64,14,73.64,12,63.12,210.4,736.37
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580218003388,10/5/2018,1361.76,14,190.65,14,190.65,12,163.41,544.71,1906.47
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580218003388,10/5/2018,1588.72,14,222.42,14,222.42,12,190.65,635.49,2224.21
ORISSA CRICKET ASSOCIATION CLUB,21AAAAO0319F1ZC,580218003388,10/5/2018,1256.57,9,113.09,9,113.09,0,0,226.18,1482.75
ROYAL TRADERS,21ACTPS8275J1ZU,580218003403,10/6/2018,233.76,14,32.73,14,32.73,12,28.05,93.51,327.27
ROYAL TRADERS,21ACTPS8275J1ZU,580218003403,10/6/2018,292.21,14,40.91,14,40.91,12,35.06,116.88,409.09
ROYAL TRADERS,21ACTPS8275J1ZU,580218003403,10/6/2018,365.72,14,51.2,14,51.2,12,43.89,146.29,512.01
ROYAL TRADERS,21ACTPS8275J1ZU,580218003403,10/6/2018,365.72,14,51.2,14,51.2,12,43.89,146.29,512.01
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003438,10/8/2018,371.75,14,52.05,14,52.05,12,44.61,148.71,520.46
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003438,10/8/2018,371.75,14,52.05,14,52.05,12,44.61,148.71,520.46
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003438,10/8/2018,221.06,14,30.95,14,30.95,12,26.53,88.43,309.49
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003438,10/8/2018,276.34,14,38.69,14,38.69,12,33.16,110.54,386.88
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003438,10/8/2018,168.57,14,23.6,14,23.6,12,20.23,67.43,236
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003438,10/8/2018,168.57,14,23.6,14,23.6,12,20.23,67.43,236
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003438,10/8/2018,363.2,9,32.69,9,32.69,0,0,65.38,428.58
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003438,10/8/2018,0,9,0,9,0,0,0,0,0
ROYAL TRADERS,21ACTPS8275J1ZU,580218003459,10/9/2018,371.75,14,52.05,14,52.05,12,44.61,148.71,520.46
ROYAL TRADERS,21ACTPS8275J1ZU,580218003459,10/9/2018,371.75,14,52.05,14,52.05,12,44.61,148.71,520.46
ROYAL TRADERS,21ACTPS8275J1ZU,580218003459,10/9/2018,441.06,9,39.7,9,39.7,0,0,79.4,520.46
ROYAL TRADERS,21ACTPS8275J1ZU,580218003459,10/9/2018,38.96,14,5.45,14,5.45,12,4.68,15.58,54.54
ROYAL TRADERS,21ACTPS8275J1ZU,580218003459,10/9/2018,276.34,14,38.69,14,38.69,12,33.16,110.54,386.88
ROYAL TRADERS,21ACTPS8275J1ZU,580218003459,10/9/2018,221.06,14,30.95,14,30.95,12,26.53,88.43,309.49
ROYAL TRADERS,21ACTPS8275J1ZU,580218003459,10/9/2018,168.57,14,23.6,14,23.6,12,20.23,67.43,236
ROYAL TRADERS,21ACTPS8275J1ZU,580218003459,10/9/2018,168.57,14,23.6,14,23.6,12,20.23,67.43,236
ROYAL TRADERS,21ACTPS8275J1ZU,580218003459,10/9/2018,168.57,14,23.6,14,23.6,12,20.23,67.43,236
ROYAL TRADERS,21ACTPS8275J1ZU,580218003459,10/9/2018,42.15,14,5.9,14,5.9,12,5.06,16.86,59.01
ROYAL TRADERS,21ACTPS8275J1ZU,580218003459,10/9/2018,168.57,14,23.6,14,23.6,12,20.23,67.43,236
ROYAL TRADERS,21ACTPS8275J1ZU,580218003459,10/9/2018,363.2,9,32.69,9,32.69,0,0,65.38,428.58
ROYAL TRADERS,21ACTPS8275J1ZU,580218003459,10/9/2018,265.49,6,15.93,6,15.93,0,0,31.86,297.35
ROYAL TRADERS,21ACTPS8275J1ZU,580218003459,10/9/2018,194.8,6,11.69,6,11.69,0,0,23.38,218.18
ROYAL TRADERS,21ACTPS8275J1ZU,580218003459,10/9/2018,46.58,6,2.8,6,2.8,0,0,5.6,52.18
ROYAL TRADERS,21ACTPS8275J1ZU,580218003459,10/9/2018,30.03,6,1.8,6,1.8,0,0,3.6,33.63
ROYAL TRADERS,21ACTPS8275J1ZU,580218003459,10/9/2018,0,9,0,9,0,0,0,0,0
ROYAL TRADERS,21ACTPS8275J1ZU,580218003562,10/13/2018,371.75,14,52.05,14,52.05,12,44.61,148.71,520.46
ROYAL TRADERS,21ACTPS8275J1ZU,580218003562,10/13/2018,371.75,14,52.05,14,52.05,12,44.61,148.71,520.46
ROYAL TRADERS,21ACTPS8275J1ZU,580218003562,10/13/2018,168.57,14,23.6,14,23.6,12,20.23,67.43,236
ROYAL TRADERS,21ACTPS8275J1ZU,580218003562,10/13/2018,168.57,14,23.6,14,23.6,12,20.23,67.43,236
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003564,10/13/2018,992.35,9,89.31,9,89.31,0,0,178.62,1170.97
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003564,10/13/2018,842.87,14,118,14,118,12,101.14,337.14,1180.01
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003564,10/13/2018,842.87,14,118,14,118,12,101.14,337.14,1180.01
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003564,10/13/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003564,10/13/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003564,10/13/2018,37.67,9,3.39,9,3.39,0,0,6.78,44.45
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003564,10/13/2018,1271.2,9,114.41,9,114.41,0,0,228.82,1500.02
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003564,10/13/2018,486.34,6,29.18,6,29.18,0,0,58.36,544.7
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003564,10/13/2018,1702.65,6,102.16,6,102.16,0,0,204.32,1906.97
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003564,10/13/2018,0,9,0,9,0,0,0,0,0
SWEETY,21AARPD9582H1ZG,580218003652,10/17/2018,194.8,14,27.27,14,27.27,12,23.38,77.92,272.72
SWEETY,21AARPD9582H1ZG,580218003652,10/17/2018,194.8,14,27.27,14,27.27,12,23.38,77.92,272.72
SWEETY,21AARPD9582H1ZG,580218003652,10/17/2018,221.06,14,30.95,14,30.95,12,26.53,88.43,309.49
SWEETY,21AARPD9582H1ZG,580218003652,10/17/2018,276.34,14,38.69,14,38.69,12,33.16,110.54,386.88
SWEETY,21AARPD9582H1ZG,580218003652,10/17/2018,198.47,9,17.86,9,17.86,0,0,35.72,234.19
SWEETY,21AARPD9582H1ZG,580218003652,10/17/2018,337.15,14,47.2,14,47.2,12,40.46,134.86,472.01
SWEETY,21AARPD9582H1ZG,580218003652,10/17/2018,337.15,14,47.2,14,47.2,12,40.46,134.86,472.01
SWEETY,21AARPD9582H1ZG,580218003652,10/17/2018,606.33,6,36.38,6,36.38,0,0,72.76,679.09
SWEETY,21AARPD9582H1ZG,580218003652,10/17/2018,585.41,6,35.12,6,35.12,0,0,70.24,655.65
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003717,10/20/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003717,10/20/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003717,10/20/2018,115.56,9,10.4,9,10.4,0,0,20.8,136.36
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003717,10/20/2018,116.88,14,16.36,14,16.36,12,14.03,46.75,163.63
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003717,10/20/2018,116.88,14,16.36,14,16.36,12,14.03,46.75,163.63
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003717,10/20/2018,116.88,14,16.36,14,16.36,12,14.03,46.75,163.63
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003717,10/20/2018,165.8,14,23.21,14,23.21,12,19.9,66.32,232.12
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003717,10/20/2018,165.8,14,23.21,14,23.21,12,19.9,66.32,232.12
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003717,10/20/2018,165.8,14,23.21,14,23.21,12,19.9,66.32,232.12
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003717,10/20/2018,107.71,9,9.69,9,9.69,0,0,19.38,127.09
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003717,10/20/2018,365.72,14,51.2,14,51.2,12,43.89,146.29,512.01
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003717,10/20/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003717,10/20/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003717,10/20/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003717,10/20/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003717,10/20/2018,37.67,9,3.39,9,3.39,0,0,6.78,44.45
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003717,10/20/2018,752.43,6,45.15,6,45.15,0,0,90.3,842.73
